Source: IEA IEA Data Services https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,CO2/population,Units
1990,9.915,tCO2 / Capita
1991,11.877,tCO2 / Capita
1992,10.701,tCO2 / Capita
1993,11.122,tCO2 / Capita
1994,11.838,tCO2 / Capita
1995,11.167,tCO2 / Capita
1996,13.619,tCO2 / Capita
1997,11.715,tCO2 / Capita
1998,10.934,tCO2 / Capita
1999,10.299,tCO2 / Capita
2000,9.515,tCO2 / Capita
2001,9.778,tCO2 / Capita
2002,9.689,tCO2 / Capita
2003,10.665,tCO2 / Capita
2004,9.591,tCO2 / Capita
2005,8.945,tCO2 / Capita
2006,10.373,tCO2 / Capita
2007,9.458,tCO2 / Capita
2008,8.863,tCO2 / Capita
2009,8.5,tCO2 / Capita
2010,8.523,tCO2 / Capita
2011,7.55,tCO2 / Capita
2012,6.645,tCO2 / Capita
2013,6.926,tCO2 / Capita
2014,6.147,tCO2 / Capita
2015,5.728,tCO2 / Capita
2016,5.928,tCO2 / Capita
2017,5.509,tCO2 / Capita
2018,5.481,tCO2 / Capita
2019,4.874,tCO2 / Capita
2020,4.45,tCO2 / Capita
2021,4.718,tCO2 / Capita
2022,4.42,tCO2 / Capita
