"Country or Area","Year(s)","Variant","Value"
"World","2100","Medium","10349323.038"
"World","2100","High","14806532.003"
"World","2100","Low","7009037.432"
"World","2099","Medium","10360269.362"
"World","2099","High","14718057.223"
"World","2099","Low","7076184.77"
"World","2098","Medium","10370445.196"
"World","2098","High","14629484.22"
"World","2098","Low","7142781.245"
"World","2097","Medium","10379888.448"
"World","2097","High","14540919.686"
"World","2097","Low","7208799.075"
"World","2096","Medium","10388517.149"
"World","2096","High","14452296.884"
"World","2096","Low","7274134.743"
"World","2095","Medium","10396305.844"
"World","2095","High","14363630.792"
"World","2095","Low","7338726.037"
"World","2094","Medium","10403272.149"
"World","2094","High","14274999.626"
"World","2094","Low","7402541.72"
"World","2093","Medium","10409491.089"
"World","2093","High","14186563.791"
"World","2093","Low","7465591.598"
"World","2092","Medium","10414959.829"
"World","2092","High","14098361.675"
"World","2092","Low","7527844.073"
"World","2091","Medium","10419647.132"
"World","2091","High","14010402.466"
"World","2091","Low","7589243.657"
"World","2090","Medium","10423541.036"
"World","2090","High","13922723.534"
"World","2090","Low","7649748.957"
"World","2089","Medium","10426601.147"
"World","2089","High","13835312.947"
"World","2089","Low","7709305.53"
"World","2088","Medium","10428830.626"
"World","2088","High","13748232.587"
"World","2088","Low","7767880.242"
"World","2087","Medium","10430267.624"
"World","2087","High","13661590.781"
"World","2087","Low","7825464.112"
"World","2086","Medium","10430926.281"
"World","2086","High","13575446.706"
"World","2086","Low","7882041.384"
"World","2085","Medium","10430679.101"
"World","2085","High","13489659.907"
"World","2085","Low","7937501.025"
"World","2084","Medium","10429447.395"
"World","2084","High","13404156.417"
"World","2084","Low","7991763.029"
"World","2083","Medium","10427226.4"
"World","2083","High","13318961.14"
"World","2083","Low","8044796.236"
"World","2082","Medium","10424022.896"
"World","2082","High","13234103.268"
"World","2082","Low","8096582.115"
"World","2081","Medium","10419851.489"
"World","2081","High","13149606.464"
"World","2081","Low","8147114.973"
"World","2080","Medium","10414637.189"
"World","2080","High","13065369.979"
"World","2080","Low","8196323.992"
"World","2079","Medium","10408266.922"
"World","2079","High","12981224.829"
"World","2079","Low","8244120.347"
"World","2078","Medium","10400749.753"
"World","2078","High","12897157.289"
"World","2078","Low","8290501.488"
"World","2077","Medium","10392082"
"World","2077","High","12813124.333"
"World","2077","Low","8335460.717"
"World","2076","Medium","10382180.397"
"World","2076","High","12728972.398"
"World","2076","Low","8378934.666"
"World","2075","Medium","10370994.198"
"World","2075","High","12644591.875"
"World","2075","Low","8420879.215"
"World","2074","Medium","10358552.763"
"World","2074","High","12559966.848"
"World","2074","Low","8461316.82"
"World","2073","Medium","10344891.492"
"World","2073","High","12475093.563"
"World","2073","Low","8500269.805"
"World","2072","Medium","10330059.854"
"World","2072","High","12389989.076"
"World","2072","Low","8537771.056"
"World","2071","Medium","10314142.303"
"World","2071","High","12304716.727"
"World","2071","Low","8573882.41"
"World","2070","Medium","10297166.711"
"World","2070","High","12219278.565"
"World","2070","Low","8608617.261"
"World","2069","Medium","10279074.87"
"World","2069","High","12133590.492"
"World","2069","Low","8641908.223"
"World","2068","Medium","10259872.991"
"World","2068","High","12047662.163"
"World","2068","Low","8673731.147"
"World","2067","Medium","10239583.78"
"World","2067","High","11961532.648"
"World","2067","Low","8704076.99"
"World","2066","Medium","10218273.016"
"World","2066","High","11875308.482"
