"Vedvarende energis andel af energiforbruget efter land og tid"

" ";"2019";"2020";"2021"
"Australien";7;8;8
"Belgien";8;9;9
"Brasilien";46;48;44
"Canada";16;17;16
"Chile";25;30;25
"Danmark";37;39;40
"Estland";23;39;31
"Finland";34;37;39
"Frankrig";11;12;12
"Grækenland";13;15;17
"Irland";11;13;12
"Island";90;90;89
"Israel";3;4;5
"Italien";18;19;19
"Japan";6;7;7
"Korea";2;2;2
"Letland";41;43;43
"Litauen";20;22;23
"Luxembourg";7;11;11
"Mexico";9;10;9
"Nederlandene";7;9;11
"New Zealand";42;40;40
"Norge";55;51;51
"Polen";9;10;12
"Portugal";23;28;29
"Schweiz";22;24;24
"Slovakiet";10;13;12
"Slovenien";17;19;18
"Spanien";15;17;17
"Storbritannien";12;14;13
"Sverige";41;45;46
"Tjekkiet";11;12;12
"Tyrkiet";16;16;15
"Tyskland";15;16;16
"Ungarn";10;11;11
"USA";8;8;8
"Østrig";30;32;31

"Kilde: OECD, IEA World Energy Statistics and Balances "

