"Affaldsproduktion efter affaldsfraktion, behandlingsform, branche og tid"

" "," "," ","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Affald i alt (ekskl. jord)"
" ","I alt"
" "," ","Brancher og husholdninger",11192655,10291493,10433396,10987979,11022446,11147922,11203080,11864199,11882309,12105863,12351592
" "," ","Husholdninger",3424432,3287020,3330376,3357970,3439281,3409763,3404531,3297673,3462992,3537429,3252067
" "," ","C Industri",1456775,1000486,856252,916943,944350,923278,928701,943221,1012402,1040606,1063284
" "," ","230020 Betonindustri og teglværker",75028,66145,73801,78496,81792,17307,18592,22116,24114,23610,22485
" "," ","F Bygge og anlæg",3239348,3414711,3593027,4054755,4159821,4256044,4148388,4790131,4578281,4810817,5162650
" "," ","41430 Bygge og anlæg",3239348,3414711,3593027,4054755,4159821,4256044,4148388,4790131,4578281,4810817,5162650
" "," ","410009 Nybyggeri",806560,859278,878374,984260,1046444,1120392,1153023,1368679,1333235,1386195,1535689
" "," ","46000 Engroshandel",305234,311782,311597,270570,265496,291355,303344,318603,316183,336946,319672
" "," ","460000 Engroshandel",305234,311782,311597,270570,265496,291355,303344,318603,316183,336946,319672
" "," ","47000 Detailhandel",377595,329756,356206,369558,339303,297725,264490,361359,374646,352142,370507
" "," ","470000 Detailhandel",377595,329756,356206,369558,339303,297725,264490,361359,374646,352142,370507
" "," ","H Transport",297794,281438,244211,264877,276199,233457,246177,235774,230537,242527,252865
" "," ","49000 Landtransport",206772,172249,154013,155773,167943,132087,153010,138892,136309,163943,179777
" "," ","490010 Regional- og fjerntog",4147,3122,2910,2989,3233,5844,7365,4535,3948,2737,2570
" "," ","490020 Lokaltog, bus og taxi mv.",4373,4511,3619,7803,3652,3044,3630,3220,3710,3670,3390
" "," ","490030 Fragtvognmænd og rørtransport",198252,164616,147484,144981,161058,123199,142016,131137,128651,157537,173817
" "," ","51000 Luftfart",656,871,816,1098,698,705,753,792,824,655,509
" "," ","510000 Luftfart",656,871,816,1098,698,705,753,792,824,655,509
" "," ","I Hoteller og restauranter",78049,75116,69022,81362,87735,85935,92157,101624,134216,113902,104161
" "," ","580020 Udgivelse af computerspil og anden software",73,103,67,67,56,100,114,122,115,109,161
" ","Genanvendelse, inkl. anden endelig materialenyttiggørelse"
" "," ","Brancher og husholdninger",6966240,6688732,6892316,7424504,7561523,7714320,7578572,8461660,8411159,8669030,9097168
" "," ","Husholdninger",1288450,1276437,1328850,1417911,1535382,1603711,1569847,1591869,1766413,1876788,1857463
