Entity,Code,Year,Number of people with access to electricity,Number of people without access to electricity
World,OWID_WRL,1998,4326061660,1627944246
World,OWID_WRL,1999,4473758747,1560732873
World,OWID_WRL,2000,4814184845,1300147672
World,OWID_WRL,2001,4844792716,1348878978
World,OWID_WRL,2002,4980415784,1292337225
World,OWID_WRL,2003,5082062674,1269819711
World,OWID_WRL,2004,5155564934,1275986787
World,OWID_WRL,2005,5219911681,1291836592
World,OWID_WRL,2006,5356668964,1236065595
World,OWID_WRL,2007,5486509499,1187694198
World,OWID_WRL,2008,5559968636,1197052189
World,OWID_WRL,2009,5660777400,1178796833
World,OWID_WRL,2010,5765921664,1155955407
World,OWID_WRL,2011,5750257896,1252623019
World,OWID_WRL,2012,6004382234,1081408204
World,OWID_WRL,2013,6095576514,1074098683
World,OWID_WRL,2014,6205159204,1049133644
World,OWID_WRL,2015,6352965447,986111206.9
World,OWID_WRL,2016,6512346366,912138375.4
World,OWID_WRL,2017,6653490191,855920037.1
World,OWID_WRL,2018,6789116852,803358762.5
World,OWID_WRL,2019,6912458804,760886587
