Entity,Code,Year,Gas (% equivalent primary energy)
Africa,,1965,1.3362632
Africa,,1966,1.4261588
Africa,,1967,1.3950869
Africa,,1968,1.3386455
Africa,,1969,1.521898
Africa,,1970,1.7410845
Africa,,1971,1.9309573
Africa,,1972,2.448062
Africa,,1973,3.623626
Africa,,1974,3.8849254
Africa,,1975,4.416606
Africa,,1976,4.6239133
Africa,,1977,4.9034944
Africa,,1978,6.73792
Africa,,1979,9.453519
Africa,,1980,11.045986
Africa,,1981,12.032826
Africa,,1982,12.192476
Africa,,1983,13.0185795
Africa,,1984,12.098193
Africa,,1985,12.473422
Africa,,1986,13.7323065
Africa,,1987,13.733011
Africa,,1988,14.221001
Africa,,1989,14.715197
Africa,,1990,15.286681
Africa,,1991,15.418591
Africa,,1992,15.932358
Africa,,1993,15.5633745
Africa,,1994,15.756141
Africa,,1995,16.175156
Africa,,1996,16.55793
Africa,,1997,15.889089
Africa,,1998,16.466713
Africa,,1999,16.127026
Africa,,2000,17.423676
Africa,,2001,19.17357
Africa,,2002,20.002443
Africa,,2003,20.243917
Africa,,2004,20.749334
Africa,,2005,21.346096
Africa,,2006,21.866306
Africa,,2007,22.479408
Africa,,2008,22.036573
Africa,,2009,21.804838
Africa,,2010,22.050655
Africa,,2011,23.662897
Africa,,2012,24.600533
Africa,,2013,24.407774
Africa,,2014,24.419857
Africa,,2015,26.273066
Africa,,2016,26.465351
Africa,,2017,27.277895
Africa,,2018,28.422733
Africa,,2019,27.905497
Africa,,2020,29.180475
Africa,,2021,30.017015
Africa,,2022,28.880192
Africa (EI),,1965,1.3362632
Africa (EI),,1966,1.4261588
Africa (EI),,1967,1.3950868
Africa (EI),,1968,1.3386456
Africa (EI),,1969,1.521898
Africa (EI),,1970,1.7410845
Africa (EI),,1971,1.9309574
Africa (EI),,1972,2.448062
Africa (EI),,1973,3.6236253
Africa (EI),,1974,3.8849254
Africa (EI),,1975,4.416605
Africa (EI),,1976,4.623913
Africa (EI),,1977,4.9034953
Africa (EI),,1978,6.73792
Africa (EI),,1979,9.453519
Africa (EI),,1980,11.045986
Africa (EI),,1981,12.032826
Africa (EI),,1982,12.192476
Africa (EI),,1983,13.0185795
Africa (EI),,1984,12.098193
Africa (EI),,1985,12.473422
Africa (EI),,1986,13.7323065
Africa (EI),,1987,13.733011
Africa (EI),,1988,14.221003
Africa (EI),,1989,14.715197
Africa (EI),,1990,15.286681
Africa (EI),,1991,15.418591
Africa (EI),,1992,15.932358
Africa (EI),,1993,15.563376
Africa (EI),,1994,15.756139
Africa (EI),,1995,16.175154
Africa (EI),,1996,16.55793
Africa (EI),,1997,15.889089
Africa (EI),,1998,16.466715
Africa (EI),,1999,16.127026
Africa (EI),,2000,17.423676
Africa (EI),,2001,19.17357
Africa (EI),,2002,20.002443
Africa (EI),,2003,20.243921
Africa (EI),,2004,20.749336
Africa (EI),,2005,21.346096
Africa (EI),,2006,21.866306
Africa (EI),,2007,22.479406
Africa (EI),,2008,22.036573
Africa (EI),,2009,21.804838
Africa (EI),,2010,22.050655
Africa (EI),,2011,23.662897
Africa (EI),,2012,24.600533
Africa (EI),,2013,24.407774
Africa (EI),,2014,24.419857
Africa (EI),,2015,26.273066
Africa (EI),,2016,26.465351
Africa (EI),,2017,27.277893
Africa (EI),,2018,28.422733
Africa (EI),,2019,27.9055
Africa (EI),,2020,29.180473
Africa (EI),,2021,30.017012
Africa (EI),,2022,28.880194
Algeria,DZA,1965,29.922304
Algeria,DZA,1966,25.875282
Algeria,DZA,1967,26.509514
Algeria,DZA,1968,25.9458
Algeria,DZA,1969,30.86445
Algeria,DZA,1970,26.47216
Algeria,DZA,1971,27.809486
Algeria,DZA,1972,28.736267
Algeria,DZA,1973,33.537952
Algeria,DZA,1974,35.095695
Algeria,DZA,1975,40.486183
Algeria,DZA,1976,41.031223
Algeria,DZA,1977,39.79627
Algeria,DZA,1978,50.85833
Algeria,DZA,1979,54.88328
Algeria,DZA,1980,61.778492
Algeria,DZA,1981,66.10903
Algeria,DZA,1982,65.05577
Algeria,DZA,1983,65.216515
Algeria,DZA,1984,59.667004
Algeria,DZA,1985,58.638775
Algeria,DZA,1986,60.70026
Algeria,DZA,1987,60.416126
Algeria,DZA,1988,63.563324
Algeria,DZA,1989,61.495125
Algeria,DZA,1990,61.941273
Algeria,DZA,1991,61.741604
Algeria,DZA,1992,62.127434
Algeria,DZA,1993,59.915016
Algeria,DZA,1994,62.323814
Algeria,DZA,1995,64.577545
Algeria,DZA,1996,67.01869
Algeria,DZA,1997,65.14475
Algeria,DZA,1998,65.08251
Algeria,DZA,1999,65.85942
Algeria,DZA,2000,63.68252
Algeria,DZA,2001,63.485813
Algeria,DZA,2002,60.518265
Algeria,DZA,2003,61.121452
Algeria,DZA,2004,60.58108
Algeria,DZA,2005,61.03665
Algeria,DZA,2006,60.254593
Algeria,DZA,2007,58.50439
Algeria,DZA,2008,57.617252
Algeria,DZA,2009,58.396385
Algeria,DZA,2010,57.693665
Algeria,DZA,2011,57.691364
Algeria,DZA,2012,58.845245
Algeria,DZA,2013,59.81918
Algeria,DZA,2014,61.630814
Algeria,DZA,2015,61.411156
Algeria,DZA,2016,62.55513
Algeria,DZA,2017,63.262005
Algeria,DZA,2018,64.825966
Algeria,DZA,2019,64.88759
Algeria,DZA,2020,66.805534
Algeria,DZA,2021,67.84758
Algeria,DZA,2022,64.64733
Argentina,ARG,1965,12.551153
Argentina,ARG,1966,13.166428
Argentina,ARG,1967,13.379695
Argentina,ARG,1968,14.410524
Argentina,ARG,1969,13.892086
Argentina,ARG,1970,16.562017
Argentina,ARG,1971,16.865692
Argentina,ARG,1972,18.691479
Argentina,ARG,1973,20.35722
Argentina,ARG,1974,20.720102
Argentina,ARG,1975,21.741497
Argentina,ARG,1976,23.305182
Argentina,ARG,1977,23.306952
Argentina,ARG,1978,22.633821
Argentina,ARG,1979,21.676857
Argentina,ARG,1980,23.75523
Argentina,ARG,1981,25.588556
Argentina,ARG,1982,28.538395
Argentina,ARG,1983,29.469479
Argentina,ARG,1984,31.269646
Argentina,ARG,1985,32.32789
Argentina,ARG,1986,33.061028
Argentina,ARG,1987,31.652494
Argentina,ARG,1988,36.365032
Argentina,ARG,1989,39.613125
Argentina,ARG,1990,38.46236
Argentina,ARG,1991,38.538334
Argentina,ARG,1992,38.843708
Argentina,ARG,1993,39.701603
Argentina,ARG,1994,38.739536
Argentina,ARG,1995,41.78009
Argentina,ARG,1996,45.83324
Argentina,ARG,1997,41.75244
Argentina,ARG,1998,43.099785
Argentina,ARG,1999,45.211365
Argentina,ARG,2000,46.21892
Argentina,ARG,2001,44.298832
Argentina,ARG,2002,44.97902
Argentina,ARG,2003,47.93839
Argentina,ARG,2004,49.420338
Argentina,ARG,2005,49.700993
Argentina,ARG,2006,48.944508
Argentina,ARG,2007,49.341446
Argentina,ARG,2008,49.235985
Argentina,ARG,2009,49.073345
Argentina,ARG,2010,47.611855
Argentina,ARG,2011,48.223763
Argentina,ARG,2012,48.388145
Argentina,ARG,2013,46.900116
Argentina,ARG,2014,47.103756
Argentina,ARG,2015,46.79576
Argentina,ARG,2016,48.578026
Argentina,ARG,2017,48.719154
Argentina,ARG,2018,49.47667
Argentina,ARG,2019,50.20596
Argentina,ARG,2020,50.50562
Argentina,ARG,2021,47.56696
Argentina,ARG,2022,45.63856
Asia,,1965,1.7567496
Asia,,1966,1.8673908
Asia,,1967,2.0735304
Asia,,1968,2.2628398
Asia,,1969,2.457282
Asia,,1970,2.581018
Asia,,1971,2.68149
Asia,,1972,2.805017
Asia,,1973,3.1646767
Asia,,1974,3.6613095
Asia,,1975,4.049505
Asia,,1976,4.2623596
Asia,,1977,4.844921
Asia,,1978,5.35852
Asia,,1979,6.1822166
Asia,,1980,6.430104
Asia,,1981,6.5050917
Asia,,1982,6.7945704
Asia,,1983,6.9353156
Asia,,1984,7.9002366
Asia,,1985,10.771029
Asia,,1986,11.63041
Asia,,1987,11.724892
Asia,,1988,11.767907
Asia,,1989,12.183866
Asia,,1990,12.188162
Asia,,1991,12.416647
Asia,,1992,12.651338
Asia,,1993,12.085511
Asia,,1994,12.420231
Asia,,1995,12.637988
Asia,,1996,12.955456
Asia,,1997,13.235016
Asia,,1998,13.798173
Asia,,1999,14.425735
Asia,,2000,14.642435
Asia,,2001,15.071483
Asia,,2002,15.186529
Asia,,2003,15.07841
Asia,,2004,14.782492
Asia,,2005,14.7939205
Asia,,2006,14.836998
Asia,,2007,15.085641
Asia,,2008,15.6139345
Asia,,2009,15.720611
Asia,,2010,16.22134
Asia,,2011,16.556269
Asia,,2012,16.821606
Asia,,2013,16.828957
Asia,,2014,17.071037
Asia,,2015,17.330105
Asia,,2016,17.482157
Asia,,2017,17.66289
Asia,,2018,17.914005
Asia,,2019,17.823793
Asia,,2020,18.316381
Asia,,2021,18.433716
Asia,,2022,17.68742
Asia Pacific (EI),,1965,1.0739887
Asia Pacific (EI),,1966,1.0977968
Asia Pacific (EI),,1967,1.199766
Asia Pacific (EI),,1968,1.2135231
Asia Pacific (EI),,1969,1.4085625
Asia Pacific (EI),,1970,1.7184734
Asia Pacific (EI),,1971,1.8797228
Asia Pacific (EI),,1972,2.0470386
Asia Pacific (EI),,1973,2.3470135
Asia Pacific (EI),,1974,2.8846025
Asia Pacific (EI),,1975,3.1803901
Asia Pacific (EI),,1976,3.5117407
Asia Pacific (EI),,1977,4.089284
Asia Pacific (EI),,1978,4.587903
Asia Pacific (EI),,1979,5.012128
