Entity,Code,Year,Nuclear (% equivalent primary energy)
Africa,,1965,0
Africa,,1966,0
Africa,,1967,0
Africa,,1968,0
Africa,,1969,0
Africa,,1970,0
Africa,,1971,0
Africa,,1972,0
Africa,,1973,0
Africa,,1974,0
Africa,,1975,0
Africa,,1976,0
Africa,,1977,0
Africa,,1978,0
Africa,,1979,0
Africa,,1980,0
Africa,,1981,0
Africa,,1982,0
Africa,,1983,0
Africa,,1984,0.5184267
Africa,,1985,0.67463315
Africa,,1986,1.0949439
Africa,,1987,0.7431199
Africa,,1988,1.1812614
Africa,,1989,1.2475647
Africa,,1990,0.91932684
Africa,,1991,0.9960631
Africa,,1992,0.99673474
Africa,,1993,0.77643275
Africa,,1994,1.0039558
Africa,,1995,1.1245356
Africa,,1996,1.142583
Africa,,1997,1.2017409
Africa,,1998,1.2726885
Africa,,1999,1.1654899
Africa,,2000,1.1551505
Africa,,2001,0.912938
Africa,,2002,1.0017272
Africa,,2003,1.0026267
Africa,,2004,0.97923416
Africa,,2005,0.81971073
Africa,,2006,0.70945185
Africa,,2007,0.7666255
Africa,,2008,0.8259992
Africa,,2009,0.79502594
Africa,,2010,0.8094874
Africa,,2011,0.7612942
Africa,,2012,0.73131156
Africa,,2013,0.7691974
Africa,,2014,0.72766733
Africa,,2015,0.6262352
Africa,,2016,0.7448549
Africa,,2017,0.681836
Africa,,2018,0.54103804
Africa,,2019,0.6028916
Africa,,2020,0.47384515
Africa,,2021,0.5527451
Africa,,2022,0.4490656
Africa (EI),,1965,0
Africa (EI),,1966,0
Africa (EI),,1967,0
Africa (EI),,1968,0
Africa (EI),,1969,0
Africa (EI),,1970,0
Africa (EI),,1971,0
Africa (EI),,1972,0
Africa (EI),,1973,0
Africa (EI),,1974,0
Africa (EI),,1975,0
Africa (EI),,1976,0
Africa (EI),,1977,0
Africa (EI),,1978,0
Africa (EI),,1979,0
Africa (EI),,1980,0
Africa (EI),,1981,0
Africa (EI),,1982,0
Africa (EI),,1983,0
Africa (EI),,1984,0.5184267
Africa (EI),,1985,0.67463315
Africa (EI),,1986,1.0949439
Africa (EI),,1987,0.7431199
Africa (EI),,1988,1.1812614
Africa (EI),,1989,1.2475647
Africa (EI),,1990,0.9193268
Africa (EI),,1991,0.9960631
Africa (EI),,1992,0.99673474
Africa (EI),,1993,0.77643275
Africa (EI),,1994,1.0039558
Africa (EI),,1995,1.1245356
Africa (EI),,1996,1.142583
Africa (EI),,1997,1.2017409
Africa (EI),,1998,1.2726886
Africa (EI),,1999,1.1654899
Africa (EI),,2000,1.1551505
Africa (EI),,2001,0.912938
Africa (EI),,2002,1.0017272
Africa (EI),,2003,1.0026267
Africa (EI),,2004,0.97923416
Africa (EI),,2005,0.8197106
Africa (EI),,2006,0.70945185
Africa (EI),,2007,0.7666255
Africa (EI),,2008,0.8259992
Africa (EI),,2009,0.79502594
Africa (EI),,2010,0.8094874
Africa (EI),,2011,0.7612942
Africa (EI),,2012,0.73131156
Africa (EI),,2013,0.7691974
Africa (EI),,2014,0.72766733
Africa (EI),,2015,0.6262352
Africa (EI),,2016,0.7448549
Africa (EI),,2017,0.681836
Africa (EI),,2018,0.54103804
Africa (EI),,2019,0.6028916
Africa (EI),,2020,0.47384515
Africa (EI),,2021,0.5527451
Africa (EI),,2022,0.4490656
Algeria,DZA,1965,0
Algeria,DZA,1966,0
Algeria,DZA,1967,0
Algeria,DZA,1968,0
Algeria,DZA,1969,0
Algeria,DZA,1970,0
Algeria,DZA,1971,0
Algeria,DZA,1972,0
Algeria,DZA,1973,0
Algeria,DZA,1974,0
Algeria,DZA,1975,0
Algeria,DZA,1976,0
Algeria,DZA,1977,0
Algeria,DZA,1978,0
Algeria,DZA,1979,0
Algeria,DZA,1980,0
Algeria,DZA,1981,0
Algeria,DZA,1982,0
Algeria,DZA,1983,0
Algeria,DZA,1984,0
Algeria,DZA,1985,0
Algeria,DZA,1986,0
Algeria,DZA,1987,0
Algeria,DZA,1988,0
Algeria,DZA,1989,0
Algeria,DZA,1990,0
Algeria,DZA,1991,0
Algeria,DZA,1992,0
Algeria,DZA,1993,0
Algeria,DZA,1994,0
Algeria,DZA,1995,0
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0
Algeria,DZA,2011,0
Algeria,DZA,2012,0
Algeria,DZA,2013,0
Algeria,DZA,2014,0
Algeria,DZA,2015,0
Algeria,DZA,2016,0
Algeria,DZA,2017,0
Algeria,DZA,2018,0
Algeria,DZA,2019,0
Algeria,DZA,2020,0
Algeria,DZA,2021,0
Algeria,DZA,2022,0
Argentina,ARG,1965,0
Argentina,ARG,1966,0
Argentina,ARG,1967,0
Argentina,ARG,1968,0
Argentina,ARG,1969,0
Argentina,ARG,1970,0
Argentina,ARG,1971,0
Argentina,ARG,1972,0
Argentina,ARG,1973,0
Argentina,ARG,1974,0.71303004
Argentina,ARG,1975,1.7741024
Argentina,ARG,1976,1.7264837
Argentina,ARG,1977,1.0521969
Argentina,ARG,1978,1.8586161
Argentina,ARG,1979,1.60929
Argentina,ARG,1980,1.4066768
Argentina,ARG,1981,1.744777
Argentina,ARG,1982,1.1374078
Argentina,ARG,1983,1.9889795
Argentina,ARG,1984,2.7021787
Argentina,ARG,1985,3.3971066
Argentina,ARG,1986,3.1844246
Argentina,ARG,1987,3.4492764
Argentina,ARG,1988,3.042493
Argentina,ARG,1989,2.7420633
Argentina,ARG,1990,4.0271096
Argentina,ARG,1991,4.221327
Argentina,ARG,1992,3.5923667
Argentina,ARG,1993,3.805663
Argentina,ARG,1994,3.8384404
Argentina,ARG,1995,3.1914546
Argentina,ARG,1996,3.220835
Argentina,ARG,1997,3.3981621
Argentina,ARG,1998,3.0719392
Argentina,ARG,1999,2.8967624
Argentina,ARG,2000,2.5082862
Argentina,ARG,2001,2.9156404
Argentina,ARG,2002,2.4911704
Argentina,ARG,2003,3.0015123
Argentina,ARG,2004,2.9214582
Argentina,ARG,2005,2.3889818
Argentina,ARG,2006,2.5383062
Argentina,ARG,2007,2.2737732
Argentina,ARG,2008,2.272979
Argentina,ARG,2009,2.5723329
Argentina,ARG,2010,2.1724014
Argentina,ARG,2011,1.8636241
Argentina,ARG,2012,1.7849432
Argentina,ARG,2013,1.6540858
Argentina,ARG,2014,1.4629076
Argentina,ARG,2015,1.8245771
Argentina,ARG,2016,2.1445594
Argentina,ARG,2017,1.5682224
Argentina,ARG,2018,1.7724298
Argentina,ARG,2019,2.3026452
Argentina,ARG,2020,2.9005115
Argentina,ARG,2021,2.6443691
Argentina,ARG,2022,1.8668351
Asia,,1965,0.0013246902
Asia,,1966,0.028513491
Asia,,1967,0.029322447
Asia,,1968,0.04509511
Asia,,1969,0.068660915
Asia,,1970,0.1975372
Asia,,1971,0.27593952
Asia,,1972,0.30498293
Asia,,1973,0.31954685
Asia,,1974,0.57139784
Asia,,1975,0.6976598
Asia,,1976,0.8812963
Asia,,1977,0.75416523
Asia,,1978,1.3826976
Asia,,1979,1.613693
Asia,,1980,1.8943893
Asia,,1981,2.0056758
Asia,,1982,2.2939005
Asia,,1983,2.6023707
