Entity,Code,Year,Solar (% equivalent primary energy)
Africa,,1971,0
Africa,,1972,0
Africa,,1973,0
Africa,,1974,0
Africa,,1975,0
Africa,,1976,0
Africa,,1977,0
Africa,,1978,0
Africa,,1979,0
Africa,,1980,0
Africa,,1981,0
Africa,,1982,0
Africa,,1983,0
Africa,,1984,0
Africa,,1985,0
Africa,,1986,0
Africa,,1987,0
Africa,,1988,0
Africa,,1989,0
Africa,,1990,0
Africa,,1991,0
Africa,,1992,0
Africa,,1993,0
Africa,,1994,0
Africa,,1995,0
Africa,,1996,0
Africa,,1997,0
Africa,,1998,0
Africa,,1999,0
Africa,,2000,0.0011048758
Africa,,2001,0.001327791
Africa,,2002,0.0014625408
Africa,,2003,0.0016551199
Africa,,2004,0.0018757496
Africa,,2005,0.0022226938
Africa,,2006,0.0027956564
Africa,,2007,0.003563506
Africa,,2008,0.0048092054
Africa,,2009,0.006199303
Africa,,2010,0.013473431
Africa,,2011,0.037022687
Africa,,2012,0.058339152
Africa,,2013,0.044853013
Africa,,2014,0.10477917
Africa,,2015,0.19254607
Africa,,2016,0.27477697
Africa,,2017,0.3481973
Africa,,2018,0.40813997
Africa,,2019,0.5278361
Africa,,2020,0.76239014
Africa,,2021,0.8348068
Africa,,2022,0.84242
Africa (EI),,1971,0
Africa (EI),,1972,0
Africa (EI),,1973,0
Africa (EI),,1974,0
Africa (EI),,1975,0
Africa (EI),,1976,0
Africa (EI),,1977,0
Africa (EI),,1978,0
Africa (EI),,1979,0
Africa (EI),,1980,0
Africa (EI),,1981,0
Africa (EI),,1982,0
Africa (EI),,1983,0
Africa (EI),,1984,0
Africa (EI),,1985,0
Africa (EI),,1986,0
Africa (EI),,1987,0
Africa (EI),,1988,0
Africa (EI),,1989,0
Africa (EI),,1990,0
Africa (EI),,1991,0
Africa (EI),,1992,0
Africa (EI),,1993,0
Africa (EI),,1994,0
Africa (EI),,1995,0
Africa (EI),,1996,0
Africa (EI),,1997,0
Africa (EI),,1998,0
Africa (EI),,1999,0
Africa (EI),,2000,0.0011048772
Africa (EI),,2001,0.0013277967
Africa (EI),,2002,0.0014625385
Africa (EI),,2003,0.0016551218
Africa (EI),,2004,0.0018757548
Africa (EI),,2005,0.0022226893
Africa (EI),,2006,0.0027956553
Africa (EI),,2007,0.0035635026
Africa (EI),,2008,0.0048092045
Africa (EI),,2009,0.006199298
Africa (EI),,2010,0.013473423
Africa (EI),,2011,0.037022687
Africa (EI),,2012,0.058339152
Africa (EI),,2013,0.044853013
Africa (EI),,2014,0.104779154
Africa (EI),,2015,0.19254607
Africa (EI),,2016,0.27477697
Africa (EI),,2017,0.34819734
Africa (EI),,2018,0.40814
Africa (EI),,2019,0.5278361
Africa (EI),,2020,0.76239014
Africa (EI),,2021,0.8348068
Africa (EI),,2022,0.8424202
Algeria,DZA,1990,0
Algeria,DZA,1991,0
Algeria,DZA,1992,0
Algeria,DZA,1993,0
Algeria,DZA,1994,0
Algeria,DZA,1995,0
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0.005753547
Algeria,DZA,2011,0.010760947
Algeria,DZA,2012,0.014433097
Algeria,DZA,2013,0.014515888
Algeria,DZA,2014,0.027756512
Algeria,DZA,2015,0.025293589
Algeria,DZA,2016,0.106301226
Algeria,DZA,2017,0.2150211
Algeria,DZA,2018,0.23825064
Algeria,DZA,2019,0.23347387
Algeria,DZA,2020,0.27724013
Algeria,DZA,2021,0.24712712
Algeria,DZA,2022,0.2595335
Argentina,ARG,1990,0
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0
Argentina,ARG,1997,0
Argentina,ARG,1998,0.0000073020133
Argentina,ARG,1999,0.0000110451665
Argentina,ARG,2000,0.000015233995
Argentina,ARG,2001,0.0000185085
Argentina,ARG,2002,0.000020961166
Argentina,ARG,2003,0.000026871925
Argentina,ARG,2004,0.000027082553
Argentina,ARG,2005,0.000029340192
Argentina,ARG,2006,0.00003083362
Argentina,ARG,2007,0.000035572044
Argentina,ARG,2008,0.000046034613
Argentina,ARG,2009,0.00002492412
Argentina,ARG,2010,0.000026968635
Argentina,ARG,2011,0.0004897719
Argentina,ARG,2012,0.0023746525
Argentina,ARG,2013,0.004186176
Argentina,ARG,2014,0.00440818
Argentina,ARG,2015,0.0039662197
Argentina,ARG,2016,0.003850112
Argentina,ARG,2017,0.00440694
Argentina,ARG,2018,0.02906322
Argentina,ARG,2019,0.22731037
Argentina,ARG,2020,0.40590432
Argentina,ARG,2021,0.59684277
Argentina,ARG,2022,0.76515365
Asia,,1965,0
Asia,,1966,0
Asia,,1967,0
Asia,,1968,0
Asia,,1969,0
Asia,,1970,0
Asia,,1971,0
Asia,,1972,0
Asia,,1973,0
Asia,,1974,0
Asia,,1975,0
Asia,,1976,0
Asia,,1977,0
Asia,,1978,0
Asia,,1979,0
Asia,,1980,0
Asia,,1981,0
Asia,,1982,0
Asia,,1983,0
Asia,,1984,0
Asia,,1985,0
Asia,,1986,0
Asia,,1987,0
Asia,,1988,0
Asia,,1989,0
Asia,,1990,0.000046022997
Asia,,1991,0.000044285927
Asia,,1992,0.00016429293
Asia,,1993,0.00028986207
Asia,,1994,0.00034821063
Asia,,1995,0.0004586593
Asia,,1996,0.0006439423
Asia,,1997,0.0010034543
Asia,,1998,0.001440586
Asia,,1999,0.0020487243
Asia,,2000,0.0030635945
Asia,,2001,0.0042734346
Asia,,2002,0.0056244284
Asia,,2003,0.0070829745
Asia,,2004,0.00847808
Asia,,2005,0.009960419
Asia,,2006,0.01160922
Asia,,2007,0.013043196
Asia,,2008,0.015219211
Asia,,2009,0.01913426
Asia,,2010,0.025362868
Asia,,2011,0.042338863
Asia,,2012,0.061205123
Asia,,2013,0.11126648
Asia,,2014,0.2184528
Asia,,2015,0.328428
Asia,,2016,0.48427755
Asia,,2017,0.73342025
Asia,,2018,1.0040014
Asia,,2019,1.2250878
Asia,,2020,1.4728669
Asia,,2021,1.7624543
Asia,,2022,2.151912
Asia Pacific (EI),,1965,0
Asia Pacific (EI),,1966,0
Asia Pacific (EI),,1967,0
Asia Pacific (EI),,1968,0
Asia Pacific (EI),,1969,0
Asia Pacific (EI),,1970,0
Asia Pacific (EI),,1971,0
Asia Pacific (EI),,1972,0
Asia Pacific (EI),,1973,0
Asia Pacific (EI),,1974,0
Asia Pacific (EI),,1975,0
Asia Pacific (EI),,1976,0
Asia Pacific (EI),,1977,0
Asia Pacific (EI),,1978,0
Asia Pacific (EI),,1979,0
Asia Pacific (EI),,1980,0
Asia Pacific (EI),,1981,0
Asia Pacific (EI),,1982,0
Asia Pacific (EI),,1983,0
Asia Pacific (EI),,1984,0
Asia Pacific (EI),,1985,0
Asia Pacific (EI),,1986,0
Asia Pacific (EI),,1987,0
Asia Pacific (EI),,1988,0
Asia Pacific (EI),,1989,0
Asia Pacific (EI),,1990,0.000055891665
Asia Pacific (EI),,1991,0.00012626559
Asia Pacific (EI),,1992,0.00035269384
Asia Pacific (EI),,1993,0.0005228986
Asia Pacific (EI),,1994,0.00061462
Asia Pacific (EI),,1995,0.0007729208
Asia Pacific (EI),,1996,0.0010253245
Asia Pacific (EI),,1997,0.0014896316
Asia Pacific (EI),,1998,0.0020600278
Asia Pacific (EI),,1999,0.002802601
Asia Pacific (EI),,2000,0.0040396587
Asia Pacific (EI),,2001,0.005518417
Asia Pacific (EI),,2002,0.0071250447
Asia Pacific (EI),,2003,0.008804074
Asia Pacific (EI),,2004,0.010440962
Asia Pacific (EI),,2005,0.012183384
Asia Pacific (EI),,2006,0.014145859
Asia Pacific (EI),,2007,0.015878864
Asia Pacific (EI),,2008,0.018589452
Asia Pacific (EI),,2009,0.023792157
Asia Pacific (EI),,2010,0.034178767
