Entity,Code,Year,Nuclear (% equivalent primary energy),Renewables (% equivalent primary energy),Fossil fuels (% equivalent primary energy)
Africa,,1965,0,5.7402806,94.25971
Africa,,1966,0,6.1139693,93.88603
Africa,,1967,0,6.31658,93.68342
Africa,,1968,0,6.994845,93.00515
Africa,,1969,0,7.9439163,92.05608
Africa,,1970,0,9.148895,90.851105
Africa,,1971,0,8.124994,91.87501
Africa,,1972,0,8.747272,91.25273
Africa,,1973,0,8.54162,91.458374
Africa,,1974,0,9.252387,90.74761
Africa,,1975,0,9.228769,90.771225
Africa,,1976,0,9.41638,90.583626
Africa,,1977,0,9.803094,90.19691
Africa,,1978,0,9.518462,90.48154
Africa,,1979,0,9.349527,90.650475
Africa,,1980,0,8.481442,91.518555
Africa,,1981,0,7.8527517,92.14725
Africa,,1982,0,7.3734274,92.62657
Africa,,1983,0,6.456112,93.543884
Africa,,1984,0.5184267,6.1585774,93.32299
Africa,,1985,0.67463315,6.5793424,92.74602
Africa,,1986,1.0949439,6.7159667,92.189095
Africa,,1987,0.7431199,6.243963,93.01292
Africa,,1988,1.1812614,6.3621163,92.45662
Africa,,1989,1.2475647,6.66546,92.08697
Africa,,1990,0.91932684,6.586325,92.49435
Africa,,1991,0.9960631,6.9816546,92.022285
Africa,,1992,0.99673474,6.5701222,92.43314
Africa,,1993,0.77643275,6.432488,92.79108
Africa,,1994,1.0039558,6.30997,92.68607
Africa,,1995,1.1245356,6.308814,92.56665
Africa,,1996,1.142583,6.435814,92.4216
Africa,,1997,1.2017409,6.468487,92.32977
Africa,,1998,1.2726885,6.6771054,92.0502
Africa,,1999,1.1654899,6.8596764,91.97484
Africa,,2000,1.1551505,7.20691,91.63795
Africa,,2001,0.912938,7.4405327,91.64654
Africa,,2002,1.0017272,7.675384,91.32289
Africa,,2003,1.0026267,7.109379,91.888
Africa,,2004,0.97923416,6.983353,92.03741
Africa,,2005,0.81971073,7.0310397,92.14925
Africa,,2006,0.70945185,7.16137,92.12917
Africa,,2007,0.7666255,7.060168,92.17321
Africa,,2008,0.8259992,6.7642,92.4098
Africa,,2009,0.79502594,6.812359,92.39261
Africa,,2010,0.8094874,7.134043,92.056465
Africa,,2011,0.7612942,7.273434,91.96526
Africa,,2012,0.73131156,7.023342,92.245346
Africa,,2013,0.7691974,7.2216034,92.0092
Africa,,2014,0.72766733,7.5466075,91.72573
Africa,,2015,0.6262352,7.49733,91.87643
Africa,,2016,0.7448549,7.293605,91.96154
Africa,,2017,0.681836,7.722913,91.59525
Africa,,2018,0.54103804,8.085691,91.37327
Africa,,2019,0.6028916,8.440789,90.95632
Africa,,2020,0.47384515,9.53104,89.99511
Africa,,2021,0.5527451,9.419954,90.027306
Africa,,2022,0.4490656,9.656152,89.89478
Africa (EI),,1965,0,5.7402806,94.25971
Africa (EI),,1966,0,6.113969,93.88603
Africa (EI),,1967,0,6.31658,93.68342
Africa (EI),,1968,0,6.994845,93.00515
Africa (EI),,1969,0,7.9439154,92.05608
Africa (EI),,1970,0,9.148896,90.851105
Africa (EI),,1971,0,8.124996,91.87501
Africa (EI),,1972,0,8.7472725,91.25273
Africa (EI),,1973,0,8.54162,91.458374
Africa (EI),,1974,0,9.252388,90.74761
Africa (EI),,1975,0,9.228768,90.77123
Africa (EI),,1976,0,9.416379,90.583626
Africa (EI),,1977,0,9.803097,90.1969
Africa (EI),,1978,0,9.518462,90.48154
Africa (EI),,1979,0,9.349527,90.650475
Africa (EI),,1980,0,8.481442,91.518555
Africa (EI),,1981,0,7.8527517,92.14725
Africa (EI),,1982,0,7.3734274,92.62657
Africa (EI),,1983,0,6.456112,93.543884
Africa (EI),,1984,0.5184267,6.1585774,93.32299
Africa (EI),,1985,0.67463315,6.5793424,92.74602
Africa (EI),,1986,1.0949439,6.7159667,92.189095
Africa (EI),,1987,0.7431199,6.243963,93.01292
Africa (EI),,1988,1.1812614,6.3621163,92.45662
Africa (EI),,1989,1.2475647,6.6654606,92.08697
Africa (EI),,1990,0.9193268,6.586325,92.49435
Africa (EI),,1991,0.9960631,6.9816546,92.022285
Africa (EI),,1992,0.99673474,6.5701222,92.43314
Africa (EI),,1993,0.77643275,6.432488,92.79108
Africa (EI),,1994,1.0039558,6.30997,92.68607
Africa (EI),,1995,1.1245356,6.3088136,92.56665
Africa (EI),,1996,1.142583,6.435814,92.4216
Africa (EI),,1997,1.2017409,6.468488,92.32977
Africa (EI),,1998,1.2726886,6.677107,92.0502
Africa (EI),,1999,1.1654899,6.8596764,91.97484
Africa (EI),,2000,1.1551505,7.20691,91.63795
Africa (EI),,2001,0.912938,7.4405327,91.64654
Africa (EI),,2002,1.0017272,7.6753845,91.32288
Africa (EI),,2003,1.0026267,7.10938,91.888
Africa (EI),,2004,0.97923416,6.983353,92.03741
Africa (EI),,2005,0.8197106,7.0310397,92.149254
Africa (EI),,2006,0.70945185,7.16137,92.12917
