"Bestanden af køretøjer pr. 1. januar efter område, køretøjstype og tid"

" "," ","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"København"
" ","Personbiler i alt",116970,122350,125806,124425,124851,124512,131592,142007,155427,166016,151605,157238,159747,165410,168329,171683,169654,170857
" ","Busser i alt",648,553,513,439,412,447,544,469,508,517,589,734,802,858,695,659,672,828
" ","Varebiler i alt",33272,33979,37194,29242,27209,23844,29242,30031,35070,38226,33670,35140,35690,33729,33819,34146,33742,36256
" ","Lastbiler i alt",2303,2195,2149,1319,1132,1053,1945,1877,1783,1695,1871,1847,1792,1647,1630,1592,3538,4329
" ","Motorcykler i alt",6518,6988,7302,7276,7301,7364,7128,7315,7604,7971,8159,8376,8473,8713,8490,8515,8422,8448
" ","Knallert-45 i alt",2491,2494,2422,2285,2164,2092,1981,2019,1996,1939,2187,2054,1811,1395,1348,1310,1229,1199
"Odense"
" ","Personbiler i alt",61437,63020,64141,64837,65642,66309,67588,69304,70675,71857,73458,75617,77697,80405,82918,84855,85756,86242
" ","Busser i alt",192,201,127,130,166,165,148,177,178,174,520,410,414,815,859,880,909,850
" ","Varebiler i alt",9413,10056,9874,9325,9008,8532,8173,8033,7645,7182,7005,7395,7216,7671,7581,7612,7383,7258
" ","Lastbiler i alt",553,527,456,438,400,409,415,411,426,417,385,721,678,806,802,822,800,677
" ","Motorcykler i alt",3298,3630,3775,3841,3864,3768,3820,3879,3858,3921,4054,4121,4115,4151,4174,4244,4236,4231
" ","Knallert-45 i alt",1919,1836,1852,1738,1639,1493,1431,1381,1257,1280,1244,1174,1042,911,824,759,737,668
"Aarhus"
" ","Personbiler i alt",89811,92468,94201,95694,98367,100460,102675,104827,108164,111326,114131,115811,117856,120100,123665,127688,128762,130036
" ","Busser i alt",550,513,469,419,462,460,409,396,387,415,417,427,386,400,417,392,373,506
" ","Varebiler i alt",15432,17834,16484,14806,14754,14487,13108,12736,12278,12010,11427,10452,9708,8882,8488,8147,8029,7899
" ","Lastbiler i alt",1291,1327,1337,1251,1165,982,851,811,752,734,741,732,726,704,671,668,637,675
" ","Motorcykler i alt",4917,5437,5734,5848,5832,5795,5892,5895,5974,6050,6113,6128,6164,6225,6411,6461,6458,6379
" ","Knallert-45 i alt",2271,2189,2164,2057,1947,1841,1792,1736,1658,1578,1510,1479,1291,1029,945,889,850,814

