KOMK;TID;INDHOLD
Hele landet;2012;95260
Hele landet;2014;90544
Hele landet;2016;93492
Hele landet;2018;98778
Hele landet;2020;99185
Hele landet;2022;97193
Region Hovedstaden;2012;8085
Region Hovedstaden;2014;7644
Region Hovedstaden;2016;8468
Region Hovedstaden;2018;8425
Region Hovedstaden;2020;8392
Region Hovedstaden;2022;8682
København;2012;855
København;2014;597
København;2016;737
København;2018;802
København;2020;819
København;2022;640
Frederiksberg;2012;330
Frederiksberg;2014;320
Frederiksberg;2016;356
Frederiksberg;2018;375
Frederiksberg;2020;319
Frederiksberg;2022;334
Dragør;2012;0
Dragør;2014;0
Dragør;2016;2
Dragør;2018;2
Dragør;2020;2
Dragør;2022;2
Tårnby;2012;177
Tårnby;2014;94
Tårnby;2016;113
Tårnby;2018;117
Tårnby;2020;104
Tårnby;2022;101
Albertslund;2012;92
Albertslund;2014;87
Albertslund;2016;77
Albertslund;2018;69
Albertslund;2020;78
Albertslund;2022;74
Ballerup;2012;696
Ballerup;2014;629
Ballerup;2016;654
Ballerup;2018;682
Ballerup;2020;680
Ballerup;2022;678
Brøndby;2012;154
Brøndby;2014;115
Brøndby;2016;110
Brøndby;2018;111
Brøndby;2020;137
Brøndby;2022;159
Gentofte;2012;235
Gentofte;2014;105
Gentofte;2016;217
Gentofte;2018;107
Gentofte;2020;82
Gentofte;2022;192
Gladsaxe;2012;760
Gladsaxe;2014;805
Gladsaxe;2016;819
Gladsaxe;2018;810
Gladsaxe;2020;746
Gladsaxe;2022;654
Glostrup;2012;123
Glostrup;2014;93
Glostrup;2016;113
Glostrup;2018;58
Glostrup;2020;45
Glostrup;2022;118
Herlev;2012;173
Herlev;2014;111
Herlev;2016;150
Herlev;2018;165
Herlev;2020;129
Herlev;2022;50
Hvidovre;2012;397
Hvidovre;2014;389
Hvidovre;2016;539
Hvidovre;2018;440
Hvidovre;2020;463
Hvidovre;2022;496
Høje-Taastrup;2012;330
Høje-Taastrup;2014;314
Høje-Taastrup;2016;328
Høje-Taastrup;2018;298
Høje-Taastrup;2020;240
Høje-Taastrup;2022;223
Ishøj;2012;35
Ishøj;2014;35
Ishøj;2016;38
Ishøj;2018;31
Ishøj;2020;35
Ishøj;2022;39
Lyngby-Taarbæk;2012;22
Lyngby-Taarbæk;2014;13
Lyngby-Taarbæk;2016;12
Lyngby-Taarbæk;2018;28
